FullName,ImpactFactor
Applied Acoustics,1.004
Clinical and Experimental Rheumatology,1.004
Digestive Diseases and Sciences,1.004
Engineering Applications of Computational Fluid Mechanics,1.004
Environmental Science and Pollution Research,1.004
Experimental and Clinical Psychopharmacology,1.004
Hygiene and Environmental Health Advances,1.004
Journal of Information Display,1.004
Migration Studies,1.004
"Visual Computing for Industry, Biomedicine, and Art",1.004
BMC Genomics,1.003
City and Community,1.003
Ergodic Theory and Dynamical Systems,1.003
European Journal of Radiology,1.003
IEEE Journal of Oceanic Engineering,1.003
International Biodeterioration and Biodegradation,1.003
Journal of Endovascular Therapy,1.003
Methods,1.003
Microporous and Mesoporous Materials,1.003
Oxford Review of Education,1.003
American Journal of Medicine,1.002
Anaesthesia Critical Care and Pain Medicine,1.002
Cardiovascular Drugs and Therapy,1.002
Current Problems in Pediatric and Adolescent Health Care,1.002
Finance and Stochastics,1.002
Journal for Deradicalization,1.002
Neuropsychology,1.002
Physical Review Fluids,1.002
Physical Therapy in Sport,1.002
Seminars in Respiratory and Critical Care Medicine,1.002
Applied Geochemistry,1.001
Arctic Science,1.001
Hague Journal on the Rule of Law,1.001
Journal of Personality Disorders,1.001
ACM Transactions on Internet Technology,1.0
Applied Catalysis A: General,1.0
Clinical and Experimental Medicine,1.0
Distance Education,1.0
"Engineering, Construction and Architectural Management",1.0
European Journal of Haematology,1.0
Experimental Hematology,1.0
International Review for the Sociology of Sport,1.0
Journal of Black Psychology,1.0
Journal of Positive Behavior Interventions,1.0
LEUKOS - Journal of Illuminating Engineering Society of North America,1.0
Neuropsychobiology,1.0
Optics and Laser Technology,1.0
Ahkam: Jurnal Ilmu Syariah,0.999
Journal of Marketing Communications,0.999
Reports in Mechanical Engineering,0.999
Review of Symbolic Logic,0.999
Telemedicine and e-Health,0.999
International Journal of Nursing Sciences,0.998
Journal of Economics and Development,0.998
Journal of Occupational Rehabilitation,0.998
Psychosomatic Medicine,0.998
Journal of Learning Analytics,0.997
"Palaeogeography, Palaeoclimatology, Palaeoecology",0.997
Studies in Continuing Education,0.997
Transportmetrica A: Transport Science,0.997
Utilities Policy,0.997
Clinical Psychology in Europe,0.996
Frontiers in Integrative Neuroscience,0.996
IEEE Robotics and Automation Magazine,0.996
Journal of Agriculture and Food Research,0.996
Metabolites,0.996
Violence Against Women,0.996
World Journal of Stem Cells,0.996
Anthropocene,0.995
Chemical Biology Letters,0.995
ChemPhysMater,0.995
IEEE Internet Computing,0.995
Journal of Applied Volcanology,0.995
Journal of Youth Studies,0.995
Respiration,0.995
Clinical Social Work Journal,0.994
International Journal of Naval Architecture and Ocean Engineering,0.994
Journal of Clinical and Experimental Hepatology,0.994
Journal of Dermatology,0.994
Journal of the Franklin Institute,0.994
Pediatric Blood and Cancer,0.994
Planta,0.994
Progress in Additive Manufacturing,0.994
ACM Transactions on Sensor Networks,0.993
Atmospheric Pollution Research,0.993
Frontiers in Neurology,0.993
International Transactions in Operational Research,0.993
Journal of Applied Research in Memory and Cognition,0.993
Journal of Clinical Gastroenterology,0.993
Musicae Scientiae,0.993
Oral Diseases,0.993
Remote Sensing Applications: Society and Environment,0.993
Sociological Inquiry,0.993
Academic Radiology,0.992
Demographic Research,0.992
Diseases of the Esophagus,0.992
Foot and Ankle Surgery,0.992
Graefe's Archive for Clinical and Experimental Ophthalmology,0.992
Health Psychology and Behavioral Medicine,0.992
Journal of Global Antimicrobial Resistance,0.992
Translational Vision Science and Technology,0.992
Virology Journal,0.992
Evolutionary Human Sciences,0.991
High Power Laser Science and Engineering,0.991
Integrative Zoology,0.991
International Journal of Accounting and Information Management,0.991
International Journal of Rail Transportation,0.991
IRAL - International Review of Applied Linguistics in Language Teaching,0.991
Journal of Comparative Policy Analysis: Research and Practice,0.991
Journal of Exercise Science and Fitness,0.991
Mechanics of Materials,0.991
Refugee Survey Quarterly,0.991
Smart and Sustainable Built Environment,0.991
Geoscience Letters,0.99
Journal of Politeness Research,0.99
MicrobiologyOpen,0.99
Pharmacotherapy,0.99
Stem Cells International,0.99
International Breastfeeding Journal,0.989
International Journal of Technology and Design Education,0.989
Journal for Person-Oriented Research,0.989
New Biotechnology,0.989
Representation Theory,0.989
Seminars in Nephrology,0.989
"Assessment in Education: Principles, Policy and Practice",0.988
Biology of Reproduction,0.988
Communications in Number Theory and Physics,0.988
Current Topics in Behavioral Neurosciences,0.988
GAMM Mitteilungen,0.988
International Journal of Pharmaceutics,0.988
Journal of Sandwich Structures and Materials,0.988
Molecular and Cellular Biology,0.988
Revista Matematica Complutense,0.988
Application of Clinical Genetics,0.987
Applied Mathematics Letters,0.987
Current Research in Parasitology and Vector-Borne Diseases,0.987
Fish and Shellfish Immunology,0.987
Gastroenterology and Hepatology,0.987
Head and Neck Pathology,0.987
Journal of Public Health Management and Practice,0.987
Journal of Structural Geology,0.987
"Mind, Culture, and Activity",0.987
Otolaryngology - Head and Neck Surgery,0.987
Psychiatric Research and Clinical Practice,0.987
Public Health Nutrition,0.987
American Journal of Criminal Justice,0.986
Cell Transplantation,0.986
Comunicar,0.986
Diabetes and Metabolic Syndrome: Clinical Research and Reviews,0.986
"ESAIM - Control, Optimisation and Calculus of Variations",0.986
European Journal of Clinical Microbiology and Infectious Diseases,0.986
Expert Opinion on Drug Metabolism and Toxicology,0.986
Journal of Ocean Engineering and Science,0.986
Journal of Semantics,0.986
Medical Physics,0.986
Mining of Mineral Deposits,0.986
Quantitative InfraRed Thermography Journal,0.986
Children's Geographies,0.985
IACR Transactions on Cryptographic Hardware and Embedded Systems,0.985
Probability Surveys,0.985
Publications of the Astronomical Society of Japan,0.985
International Journal of Educational Development,0.984
JBJS Reviews,0.984
Journal of Genetic Counseling,0.984
Journal of Nuclear Materials,0.984
Oxford Bulletin of Economics and Statistics,0.984
Research in Social and Administrative Pharmacy,0.984
SLAS Discovery,0.984
World Development Sustainability,0.984
Clinical Oral Investigations,0.983
Cultural Anthropology,0.983
Global Health Action,0.983
Journal of Family Business Management,0.983
Journal of Movement Disorders,0.983
Proteomics,0.983
Review of Philosophy and Psychology,0.983
Synthetic and Systems Biotechnology,0.983
ACS Organic and Inorganic Au,0.982
Altex,0.982
American Mineralogist,0.982
Current Opinion in Nephrology and Hypertension,0.982
European Journal of Education,0.982
Frontiers in Bioinformatics,0.982
Journal of Hand Surgery,0.982
"Journal of Hospitality, Leisure, Sport and Tourism Education",0.982
Journal of the Taiwan Institute of Chemical Engineers,0.982
"Navigation, Journal of the Institute of Navigation",0.982
Pain Medicine,0.982
Retrovirology,0.982
ACS Applied Polymer Materials,0.981
Chemistry - A European Journal,0.981
Contact Dermatitis,0.981
Epilepsia Open,0.981
European Addiction Research,0.981
Midwifery,0.981
Open Journal of Mathematical Optimization,0.981
Population Research and Policy Review,0.981
Clean Technologies,0.98
Gerontology,0.98
Health Promotion Perspectives,0.98
Immunology Letters,0.98
Journal of Medical Ethics,0.98
Aggression and Violent Behavior,0.979
Couple and Family Psychology: Research and Practice,0.979
Eating and Weight Disorders,0.979
Joint Commission Journal on Quality and Patient Safety,0.979
Journal of Flood Risk Management,0.979
Journal of the Endocrine Society,0.979
NeuroToxicology,0.979
Perspectives on Behavior Science,0.979
Aging and Cancer,0.978
Annual Review of Anthropology,0.978
Carcinogenesis,0.978
Clinical Therapeutics,0.978
Colloids and Surfaces B: Biointerfaces,0.978
Educational Studies,0.978
Ethnicity and Disease,0.978
IEEE Transactions on Radiation and Plasma Medical Sciences,0.978
Journal of Cognition,0.978
Journal of Intelligence,0.978
Journal of Parallel and Distributed Computing,0.978
Neurosurgical Review,0.978
Permafrost and Periglacial Processes,0.978
Tissue Engineering and Regenerative Medicine,0.978
Clinics in Perinatology,0.977
Economics of Transportation,0.977
Journal of Perinatology,0.977
Linear Algebra and Its Applications,0.977
Journal of Computational Design and Engineering,0.976
Mammalian Genome,0.976
Ophthalmic and Physiological Optics,0.976
Talanta,0.976
Cancer Imaging,0.975
Current Opinion in Clinical Nutrition and Metabolic Care,0.975
European Journal of Physical and Rehabilitation Medicine,0.975
Frontiers in Cardiovascular Medicine,0.975
IEEE Control Systems,0.975
International Journal of Tuberculosis and Lung Disease,0.975
Journal of Academic Librarianship,0.975
Journal of Community and Applied Social Psychology,0.975
Journal of Health Communication,0.975
Journal of Systems and Software,0.975
Population Health Management,0.975
Theoretical Criminology,0.975
Australian Educational Researcher,0.974
Cambridge Archaeological Journal,0.974
Chronic Respiratory Disease,0.974
Frontiers in Bioengineering and Biotechnology,0.974
Implementation and Replication Studies in Mathematics Education,0.974
Industrial Crops and Products,0.974
Journal of Adolescent Research,0.974
Learning: Research and Practice,0.974
"Mind, Brain, and Education",0.974
Minerva Urology and Nephrology,0.974
Nanoscale Advances,0.974
ACM Transactions on Management Information Systems,0.973
"Arthroscopy, Sports Medicine, and Rehabilitation",0.973
Brain and Behavior,0.973
Plasma Physics and Controlled Fusion,0.973
Society and Business Review,0.973
Sociological Perspectives,0.973
Archives of Disease in Childhood,0.972
Disability and Rehabilitation,0.972
International Dental Journal,0.972
Journal of Pharmaceutical Investigation,0.972
Nanotechnology Reviews,0.972
Nursing Forum,0.972
Phenomenology and the Cognitive Sciences,0.972
Statistical Methods in Medical Research,0.972
Thrombosis Research,0.972
Vascular Pharmacology,0.972
Cancer Treatment and Research Communications,0.971
Endocrine,0.971
European Journal for Philosophy of Science,0.971
International Journal of COPD,0.971
Journal of Creativity,0.971
Journal of Trauma and Dissociation,0.971
Journal of Veterinary Internal Medicine,0.971
Kidney360,0.971
MycoKeys,0.971
Optics Letters,0.971
Plants People Planet,0.971
Political Studies Review,0.971
Powder Technology,0.971
Sexually Transmitted Diseases,0.971
Stochastic Processes and their Applications,0.971
Genetic Epidemiology,0.97
International Journal of Business Communication,0.97
Probabilistic Engineering Mechanics,0.97
Publicacions Matematiques,0.97
Therapeutic Advances in Respiratory Disease,0.97
Waste Management and Research,0.97
Advances in Biological Regulation,0.969
Algorithmica,0.969
Biochip Journal,0.969
Cancer Chemotherapy and Pharmacology,0.969
Cognitive Development,0.969
Comparative European Politics,0.969
Death Studies,0.969
"IEEE Transactions on Biometrics, Behavior, and Identity Science",0.969
Intelligent Systems with Applications,0.969
International Journal of Biochemistry and Cell Biology,0.969
International Journal of Educational Research,0.969
Natural Language Semantics,0.969
Paediatric Drugs,0.969
Public Performance and Management Review,0.969
Qualitative Sociology,0.969
Annals of Clinical Microbiology and Antimicrobials,0.968
Biometrical Journal,0.968
British Journal of Developmental Psychology,0.968
Clinical Neuropsychologist,0.968
Foundations and Trends in Human-Computer Interaction,0.968
Learning Health Systems,0.968
Molecular Pharmaceutics,0.968
Oncology Reviews,0.968
Applied Microbiology and Biotechnology,0.967
Asia-Pacific Psychiatry,0.967
Cultural Trends,0.967
European Review of Economic History,0.967
International Journal of Retina and Vitreous,0.967
Journal of Allergy and Clinical Immunology: Global,0.967
Journal of Consumer Marketing,0.967
Journal of Mathematical Economics,0.967
Plant Methods,0.967
Probiotics and Antimicrobial Proteins,0.967
Geographical Journal,0.966
Geosynthetics International,0.966
Journal of Applied and Computational Topology,0.966
Oecologia,0.966
SSM - Qualitative Research in Health,0.966
Sustainable Chemistry and Pharmacy,0.966
Therapeutic Advances in Chronic Disease,0.966
Total Quality Management and Business Excellence,0.966
ACS Physical Chemistry Au,0.965
Asian American Journal of Psychology,0.965
Clinical Oncology,0.965
Experimental Eye Research,0.965
Milan Journal of Mathematics,0.965
Review of Research in Education,0.965
Rheumatology International,0.965
American Journal of Botany,0.964
Biomimetic Intelligence and Robotics,0.964
BioPsychoSocial Medicine,0.964
Cellulose,0.964
Hepatobiliary and Pancreatic Diseases International,0.964
Journal of Management Accounting Research,0.964
Journal of Public Policy,0.964
Microbial Physiology,0.964
Neuroscience Informatics,0.964
Pharmaceutical Biology,0.964
California Law Review,0.963
International Economics,0.963
International Journal of Stress Management,0.963
Journal of the World Federation of Orthodontists,0.963
Simulation Modelling Practice and Theory,0.963
Women's Health,0.963
Clinical Proteomics,0.962
Current Sociology,0.962
Drones,0.962
Education and Training,0.962
Frontiers in Medicine,0.962
IEEE Transactions on Broadcasting,0.962
International Journal for Parasitology: Drugs and Drug Resistance,0.962
Journal of Medical Systems,0.962
Nano TransMed,0.962
American Behavioral Scientist,0.961
Asia-Pacific Journal of Business Administration,0.961
British Journal of Sociology of Education,0.961
Business Process Management Journal,0.961
Educational Action Research,0.961
Ergo,0.961
North American Journal of Economics and Finance,0.961
Nutrition,0.961
Reviews of Modern Plasma Physics,0.961
Science and Engineering Ethics,0.961
ACM Transactions on Interactive Intelligent Systems,0.96
Chinese Physics C,0.96
Human Performance,0.96
iEnergy,0.96
Journal of Contemporary Asia,0.96
Journal of Development Studies,0.96
Journal of Literacy Research,0.96
Liquid Crystals Reviews,0.96
ACS Measurement Science Au,0.959
Biofilm,0.959
Brain Informatics,0.959
Chinese Journal of Electrical Engineering,0.959
Handbook of Numerical Analysis,0.959
IEEE Transactions on Dielectrics and Electrical Insulation,0.959
International Journal of Colorectal Disease,0.959
"Interventional Cardiology: Reviews, Research, Resources",0.959
Journal of Global Marketing,0.959
Vascular Medicine,0.959
Dysphagia,0.958
"Environment, Development and Sustainability",0.958
Family Relations,0.958
Inorganic Chemistry,0.958
Memory,0.958
Peptides,0.958
Reproduction and Fertility,0.958
Scandinavian Journal of Educational Research,0.958
Signal Processing,0.958
Advances in Developing Human Resources,0.957
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,0.957
Applied Mathematics and Optimization,0.957
Chemical Research in Toxicology,0.957
Infectious Diseases,0.957
International Review of Social Psychology,0.957
Journal of Occupational Health,0.957
Media and Communication,0.957
Papers in Palaeontology,0.957
Psychology of Men and Masculinity,0.957
"Attention, Perception, and Psychophysics",0.956
Cancer Journal (United States),0.956
Communications in Nonlinear Science and Numerical Simulation,0.956
European Journal of Developmental Psychology,0.956
Frontiers in Health Services,0.956
Journal of Fungi,0.956
Journal of Neurologic Physical Therapy,0.956
Journal of Responsible Technology,0.956
Research in Mathematical Sciences,0.956
Reviews on Environmental Health,0.956
Science and Education,0.956
Seminars in Diagnostic Pathology,0.956
Transportation Engineering,0.956
Advanced NanoBiomed Research,0.955
Cornea,0.955
Current Research in Toxicology,0.955
International Journal of Antimicrobial Agents,0.955
Pacific Philosophical Quarterly,0.955
Public Health Research and Practice,0.955
Travel Medicine and Infectious Disease,0.955
Breast Cancer,0.954
International Journal of Productivity and Performance Management,0.954
JMIR Human Factors,0.954
Journal of Experimental Criminology,0.954
Journal of Vascular Surgery: Venous and Lymphatic Disorders,0.954
Teachers and Teaching: Theory and Practice,0.954
Biological Procedures Online,0.953
International Journal of Health Geographics,0.953
Journal of Plant Growth Regulation,0.953
Journal of Public Health,0.953
Leadership,0.953
Matter and Radiation at Extremes,0.953
Microbiology (United Kingdom),0.953
Scandinavian Journal of Caring Sciences,0.953
Zeitschrift fur Angewandte Mathematik und Physik,0.953
Brazilian Journal of Physical Therapy,0.952
Clinical Chemistry and Laboratory Medicine,0.952
Computational Optimization and Applications,0.952
Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences,0.952
International Journal of Urban Sciences,0.952
Journal of Personnel Psychology,0.952
Journal of Theoretical and Applied Electronic Commerce Research,0.952
Nanoenergy Advances,0.952
Pharmacology Biochemistry and Behavior,0.952
Symbolic Interaction,0.952
Teaching and Learning in Medicine,0.952
Al-Ahkam,0.951
Annali di Matematica Pura ed Applicata,0.951
Computers and Mathematics with Applications,0.951
Disability and Society,0.951
Earthquake Research Advances,0.951
Experimental Astronomy,0.951
Israel Journal of Mathematics,0.951
Supply Chain Forum,0.951
Eye and Brain,0.95
International Journal of Industrial Organization,0.95
Journal of Mechanical Design,0.95
Journal of Pediatric Surgery,0.95
Journal of Polymer Science,0.95
"Nanomedicine: Nanotechnology, Biology, and Medicine",0.95
NMR in Biomedicine,0.95
Accounting in Europe,0.949
Annals of Global Health,0.949
Antibodies,0.949
Current Research in Environmental Sustainability,0.949
"Designs, Codes, and Cryptography",0.949
Journal of Gastrointestinal Surgery,0.949
Molecular Carcinogenesis,0.949
Pathogens,0.949
R Journal,0.949
Virologica Sinica,0.949
Financial Review,0.948
Hydrological Processes,0.948
International Journal of Psychophysiology,0.948
Journal of Symplectic Geometry,0.948
Nursing in Critical Care,0.948
Acta Neurologica Scandinavica,0.947
Al-Manahij: Jurnal Kajian Hukum Islam,0.947
American Journal of Surgery,0.947
Annales Fennici Mathematici,0.947
Annales Henri Poincare,0.947
Basic and Applied Social Psychology,0.947
BMC Medical Education,0.947
Clinical Neuropsychiatry,0.947
Global Public Health,0.947
"Globalisation, Societies and Education",0.947
Journal of Pure and Applied Algebra,0.947
Neurobiology of Learning and Memory,0.947
Stigma and Health,0.947
Ecosystem Health and Sustainability,0.946
Journal of Applied Research in Intellectual Disabilities,0.946
Journal of Industrial Relations,0.946
Physics and Imaging in Radiation Oncology,0.946
Revista de Psicodidactica,0.946
Social Development,0.946
Aesthetic Plastic Surgery,0.945
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,0.945
Erkenntnis,0.945
IEEE Journal of Translational Engineering in Health and Medicine,0.945
IEEE Micro,0.945
International Journal of Disaster Risk Science,0.945
Journal of Management and Organization,0.945
Journal of Marine Systems,0.945
Journal of Semiconductors,0.945
Journal of Social Psychology,0.945
Physical Review Materials,0.945
Spinal Cord,0.945
Annals of Applied Statistics,0.944
Breast Cancer: Targets and Therapy,0.944
Carbon Letters,0.944
Clinical Toxicology,0.944
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0.944
Interactive Technology and Smart Education,0.944
JMIR Diabetes,0.944
Journal of Empirical Finance,0.944
Journal of Head Trauma Rehabilitation,0.944
Journal of Time Series Analysis,0.944
Regulatory Toxicology and Pharmacology,0.944
AIDS Research and Therapy,0.943
American Journal on Addictions,0.943
Criminal Justice and Behavior,0.943
Journal of Child Language,0.943
Materials Research Bulletin,0.943
North American Spine Society Journal,0.943
Pharmacopsychiatry,0.943
Cleaner Production Letters,0.942
Consciousness and Cognition,0.942
Current Issues in Language Planning,0.942
Cytometry Part A,0.942
European Journal for Sport and Society,0.942
Journal of Environmental Policy and Planning,0.942
Journal of Institutional Economics,0.942
Natural Hazards,0.942
Progress in Physical Geography,0.942
Applied Numerical Mathematics,0.941
ChemCatChem,0.941
European Radiology Experimental,0.941
International Journal of Audiology,0.941
International Journal of Sport Policy and Politics,0.941
Metabolic Brain Disease,0.941
Neurologic Clinics,0.941
Therapeutic Advances in Urology,0.941
Biotechnology and Bioengineering,0.94
EJNMMI Research,0.94
Journal of Soils and Sediments,0.94
Journal of the American Academy of Orthopaedic Surgeons Global Research and Reviews,0.94
Music Analysis,0.94
Physica D: Nonlinear Phenomena,0.94
Combinatorial Theory,0.939
IEEE Transactions on Electromagnetic Compatibility,0.939
Journal of Bone and Joint Infection,0.939
"Journal of College Student Retention: Research, Theory and Practice",0.939
Journal of Saudi Chemical Society,0.939
Research in Mathematics Education,0.939
Archives of Osteoporosis,0.938
Chinese Journal of Natural Medicines,0.938
Computational Brain and Behavior,0.938
Gender and Education,0.938
"Groups, Geometry, and Dynamics",0.938
IEEE Signal Processing Letters,0.938
Journal of Cybersecurity,0.938
Journal of Meteorological Research,0.938
Local Environment,0.938
Nursing Philosophy,0.938
Seminars in Vascular Surgery,0.938
Water Science and Engineering,0.938
Cell Cycle,0.937
Cytometry Part B - Clinical Cytometry,0.937
Developmental Neuroscience,0.937
International Journal of Refrigeration,0.937
Journal of Clinical Neurology (Korea),0.937
Journal of Experimental Orthopaedics,0.937
Journal of Glaucoma,0.937
Journal of Human Hypertension,0.937
Web Ecology,0.937
AAPG Bulletin,0.936
ChemElectroChem,0.936
"Child: Care, Health and Development",0.936
Clinical Ophthalmology,0.936
Critical Reviews in Analytical Chemistry,0.936
Economics and Philosophy,0.936
European Journal of Cardiovascular Nursing,0.936
European Journal of Oncology Nursing,0.936
Food and Waterborne Parasitology,0.936
Frontiers in Allergy,0.936
Integrated Environmental Assessment and Management,0.936
International Journal of Clinical Oncology,0.936
Journal of the Experimental Analysis of Behavior,0.936
New Journal of Physics,0.936
Placenta,0.936
Psychology of Music,0.936
"Review of European, Comparative and International Environmental Law",0.936
Advances in Computational Mathematics,0.935
Cannabis and Cannabinoid Research,0.935
Journal of Molecular Liquids,0.935
"Psychology, Health and Medicine",0.935
Canadian Journal of Philosophy,0.934
China CDC Weekly,0.934
Earthquake Engineering and Engineering Vibration,0.934
Estuaries and Coasts,0.934
European Journal of Pediatrics,0.934
Gastrointestinal Endoscopy Clinics of North America,0.934
International Journal of Transportation Science and Technology,0.934
Journal of Religion and Health,0.934
American Journal of Cardiology,0.933
BSGF - Earth Sciences Bulletin,0.933
IEEE Transactions on Medical Robotics and Bionics,0.933
Journal of Change Management,0.933
Journal of Computational Chemistry,0.933
Journal of Hispanic Higher Education,0.933
Journal of Planning Education and Research,0.933
Pharmacological Reports,0.933
Social Indicators Research,0.933
Applied Intelligence,0.932
Journal of Information Security and Applications,0.932
Mathematical Modelling and Numerical Simulation with Applications,0.932
Mutagenesis,0.932
Newsletters on Stratigraphy,0.932
Policy Design and Practice,0.932
Prenatal Diagnosis,0.932
Sedimentary Geology,0.932
Sustainable Chemistry,0.932
Tropical Medicine and International Health,0.932
Dermatologic Therapy,0.931
Environmental Science: Advances,0.931
Frontiers in Marine Science,0.931
Global Health Journal,0.931
Industrial Relations,0.931
International Journal of Legal Medicine,0.931
Journal of Experimental Biology,0.931
Journal of Medical Toxicology,0.931
Online Social Networks and Media,0.931
Water Alternatives,0.931
Yale Journal of Biology and Medicine,0.931
Advanced Synthesis and Catalysis,0.93
Brain and Language,0.93
Canadian Journal of Nursing Research,0.93
Chinese Journal of Mechanical Engineering (English Edition),0.93
Earth Surface Processes and Landforms,0.93
Geosystems and Geoenvironment,0.93
International Journal of Multiphase Flow,0.93
Journal of Patient-Reported Outcomes,0.93
Optics Express,0.93
Research and Practice in Thrombosis and Haemostasis,0.93
Transnational Environmental Law,0.93
Wspolczesna Onkologia,0.93
Journal of Psychology,0.929
Australian Journal of Agricultural and Resource Economics,0.928
ES Food and Agroforestry,0.928
Journal of Adhesive Dentistry,0.928
Journal of Commodity Markets,0.928
Journal of Neuroradiology,0.928
Kyklos,0.928
Legume Science,0.928
Ultrasonography,0.928
Applied Cognitive Psychology,0.927
Earth and Space Science,0.927
Frontiers in Artificial Intelligence,0.927
Geoderma Regional,0.927
Geoenvironmental Disasters,0.927
Journal of Medical Economics,0.927
Mycoses,0.927
Neuroinformatics,0.927
Romanian Journal of Information Science and Technology,0.927
Behavioural and Cognitive Psychotherapy,0.926
Expert Review of Anticancer Therapy,0.926
Haemophilia,0.926
Public Personnel Management,0.926
Behavioral Ecology,0.925
BMC Endocrine Disorders,0.925
BMC Women's Health,0.925
Journal of Applied Accounting Research,0.925
Journal of Primary Care and Community Health,0.925
Management and Organization Review,0.925
STAR Protocols,0.925
Canadian Journal of Anesthesia,0.924
Crohn's and Colitis 360,0.924
Energy Advances,0.924
Journal of Human Kinetics,0.924
Journal of Industrial and Production Engineering,0.924
Journal of the American Water Resources Association,0.924
Parliamentary Affairs,0.924
Structural Concrete,0.924
Accounting Forum,0.923
European Journal of Archaeology,0.923
Journal of Law and the Biosciences,0.923
Psychology Learning and Teaching,0.923
Sustainable Futures,0.923
Applied Research in Quality of Life,0.922
Big Data and Cognitive Computing,0.922
Boreas,0.922
Chinese Political Science Review,0.922
EJNMMI Physics,0.922
International Statistical Review,0.922
Journal of Biosafety and Biosecurity,0.922
Journal of School Health,0.922
Journal of Strategy and Management,0.922
"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas",0.922
Sports,0.922
Clinical Neuroradiology,0.921
Compare,0.921
Current Treatment Options in Psychiatry,0.921
Journal of Evolutionary Biology,0.921
Journal of Family and Economic Issues,0.921
Journal of Global Operations and Strategic Sourcing,0.921
Journal of Mathematical Biology,0.921
"Psychology, Public Policy, and Law",0.921
Samarah,0.921
Tetrahedron Chem,0.921
Complementary Therapies in Clinical Practice,0.92
Diangong Jishu Xuebao/Transactions of China Electrotechnical Society,0.92
Industrial Relations Journal,0.92
International Journal on Semantic Web and Information Systems,0.92
Psychology Research and Behavior Management,0.92
Sexual Abuse,0.92
SLEEP Advances,0.92
Stresses,0.92
Acta Neuropsychiatrica,0.919
Behavioural Brain Research,0.919
Complex Psychiatry,0.919
Economic Change and Restructuring,0.919
International Journal of Environmental Research and Public Health,0.919
Journal of Clinical Medicine,0.919
Journal of the Royal Statistical Society. Series A: Statistics in Society,0.919
Proceedings of the ACM on Human-Computer Interaction,0.919
Transboundary and Emerging Diseases,0.919
Annals of Tourism Research Empirical Insights,0.918
Arthroplasty Today,0.918
Big Earth Data,0.918
Polymers,0.918
Advances in Ophthalmology Practice and Research,0.917
Biophysics Reviews,0.917
Cell Biology International,0.917
Innate Immunity,0.917
"Journal of Language, Identity and Education",0.917
Journal of the Operational Research Society,0.917
Journal of Vision,0.917
SIAM Journal on Matrix Analysis and Applications,0.917
Signs,0.917
Boundary-Layer Meteorology,0.916
Geostandards and Geoanalytical Research,0.916
Medical Oncology,0.916
Prehospital Emergency Care,0.916
SIAM Journal on Imaging Sciences,0.916
Topics in Antiviral Medicine,0.916
Behaviour Change,0.915
CMAJ. Canadian Medical Association Journal,0.915
European Journal of General Practice,0.915
Expert Review of Endocrinology and Metabolism,0.915
Health Economics Review,0.915
Health Systems and Reform,0.915
Journal of Cardiology,0.915
Journal of Information Technology in Construction,0.915
Journal of Marketing Education,0.915
Molecular and Cellular Pediatrics,0.915
Molecular Genetics and Metabolism,0.915
Oncology Reports,0.915
Oncology Research,0.915
American Journal of Rhinology and Allergy,0.914
Big Data Research,0.914
Cardiovascular Digital Health Journal,0.914
Fire Safety Journal,0.914
Geriatric Nursing,0.914
Journal of Infrastructure Intelligence and Resilience,0.914
Journal of Macroeconomics,0.914
Journal of Physical Chemistry C,0.914
Translational Gastroenterology and Hepatology,0.914
Veterinary Research,0.914
ACM Transactions on Database Systems,0.913
Healthcare Management Forum,0.913
IEEE Transactions on Sustainable Computing,0.913
International Journal of Engineering Business Management,0.913
Neuropsychiatric Disease and Treatment,0.913
New Ideas in Psychology,0.913
Radiocarbon,0.913
Research Studies in Music Education,0.913
Africa Spectrum,0.912
Archives of Biochemistry and Biophysics,0.912
Journal of Cloud Computing,0.912
Journal of Community Psychology,0.912
American Journal of Infection Control,0.911
Asia Pacific Education Review,0.911
"BMJ Nutrition, Prevention and Health",0.911
Hydrobiologia,0.911
Intensive Care Medicine Experimental,0.911
International Journal of Computer Integrated Manufacturing,0.911
Journal of Gay and Lesbian Mental Health,0.911
Multifunctional Materials,0.911
Pain Physician,0.911
Perspectives: Studies in Translation Theory and Practice,0.911
Physiological Genomics,0.911
TESOL Journal,0.911
Vegetation Classification and Survey,0.911
Clinical and Experimental Otorhinolaryngology,0.91
Journal of Cancer Research and Clinical Oncology,0.91
Papers in Regional Science,0.91
Pediatric Rheumatology,0.91
Toxicology and Applied Pharmacology,0.91
Clinica Chimica Acta,0.909
Computer Science Education,0.909
Construction Management and Economics,0.909
Cross-Cultural Research,0.909
Dynamics of Partial Differential Equations,0.909
Joint Bone Spine,0.909
Journal of University Teaching and Learning Practice,0.909
Reproductive Sciences,0.909
Shock,0.909
Transplant International,0.909
Annals of Pure and Applied Logic,0.908
BMJ Open Ophthalmology,0.908
CES Transactions on Electrical Machines and Systems,0.908
Eating Behaviors,0.908
Extracellular Vesicles and Circulating Nucleic Acids,0.908
Frontiers in Zoology,0.908
Journal of Cannabis Research,0.908
Management Research Review,0.908
Photonic Sensors,0.908
PLOS Global Public Health,0.908
Smart Agricultural Technology,0.908
Xenotransplantation,0.908
